,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
DXG,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,117.74565604648723,17.745656046487227,212.92028519353244,100.0,1.183876760429943,27.692980092170277,1478 days 00:00:00,7,6,1,26.435388520616286,16.666666666666664,31.933439490445863,-19.57388949079088,31.933439490445863,-6.836742017257627,45 days 00:00:00,14 days 14:24:00,0.7340391231142185,-1.448288745688175,0.25697565631783226,0.09471094812296892,1.1509083636155404,0.3670371570681158
DXS,2021-12-08 00:00:00,2025-08-19 00:00:00,921 days 00:00:00,100.0,76.52012869058089,-23.47987130941911,-51.42044967641617,100.0,0.386602719211851,37.183794104000846,853 days 00:00:00,2,2,0,0.0,50.0,5.057894736842111,-27.18750430962342,5.057894736842111,-27.18750430962342,35 days 00:00:00,5 days 00:00:00,0.17708942920205514,-11.739935654709555,-0.48236276036791353,-0.27062342543936924,0.6455765266481468,-0.5368930571192279
EIB,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,74.45166476109034,-25.548335238909658,161.34453781512633,100.0,1.1584011292311107,40.65512951274795,1883 days 00:00:00,6,6,0,0.0,33.33333333333333,16.06279069767444,-18.520486275033374,10.172741502683378,-11.267633727288349,22 days 00:00:00,11 days 18:00:00,0.44247335817208,-4.25805587315161,-0.3357582113431409,-0.11236251498408956,0.7700619836192425,-0.41463912580314766
EVF,2018-12-25 00:00:00,2025-08-19 00:00:00,1650 days 00:00:00,100.0,171.1803107474987,71.1803107474987,293.0921939109716,100.0,1.5896612495176983,35.098261296065786,568 days 00:00:00,8,7,1,53.30794747176249,42.857142857142854,29.67675419433559,-24.60408354114712,22.6215164899754,-10.081275089848443,37 days 08:00:00,20 days 12:00:00,1.3879615744908096,2.5531947536766024,0.621187934858086,0.35976360133081214,1.2712695747813831,0.926149816625174
FOX,2017-06-13 00:00:00,2025-08-19 00:00:00,2047 days 00:00:00,100.0,94.46139525554307,-5.538604744456933,153.254615728321,100.0,2.8246985424900095,44.07603761374846,718 days 00:00:00,12,12,0,0.0,50.0,22.158564017883585,-34.123464143128004,10.048054350362639,-8.923578630049388,30 days 12:00:00,10 days 00:00:00,0.9270163321024001,-0.46155039537141374,0.05509638506189138,-0.022934147321653994,1.037242547820376,0.06406462355208797
FPT,2016-06-06 00:00:00,2025-08-19 00:00:00,2304 days 00:00:00,100.0,79.67783730008392,-20.322162699916078,485.1910361390221,100.0,4.162719235738485,41.09434444042988,1004 days 00:00:00,22,22,0,0.0,31.818181818181817,17.81171003717474,-32.98564798682901,9.991612070737961,-5.27436221415821,41 days 13:42:51.428571428,14 days 17:36:00,0.7534746086484347,-0.9237346681780036,-0.0705720060116849,-0.08602097290063923,0.9721215937506537,-0.08283085272190187
FRT,2018-09-17 00:00:00,2025-08-19 00:00:00,1730 days 00:00:00,100.0,85.33383794618247,-14.66616205381753,124.95931090002487,100.0,1.185886808074801,35.19792307692307,846 days 00:00:00,7,7,0,0.0,42.857142857142854,10.926586826347306,-26.86434614481407,7.751339826298108,-8.367555800247574,38 days 00:00:00,12 days 00:00:00,0.5514103347504002,-2.09516600768822,0.004755065538748385,-0.09349419382807923,1.0035165062310587,0.0053452144867738175
FTS,2017-06-13 00:00:00,2025-08-19 00:00:00,2047 days 00:00:00,100.0,165.61751046295336,65.61751046295335,477.669870398641,100.0,3.175258835342987,55.48165108293319,981 days 00:00:00,13,13,0,0.0,38.46153846153847,81.38463541033065,-26.50196111315336,33.044749112413925,-9.294403214377658,37 days 00:00:00,13 days 09:00:00,1.5835498472257932,5.047500804842564,0.47821297039369653,0.16965900779848597,1.2342835201335078,0.6286875138385761
GAS,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,110.79800937195702,10.798009371957022,50.411342256643856,100.0,1.2778108549279674,12.022156454967194,1576 days 00:00:00,6,6,0,0.0,50.0,13.447053571428603,-8.702127659574455,8.649875391187782,-4.650766837608235,26 days 16:00:00,9 days 00:00:00,1.685247266192735,1.799668228659503,0.2504779287542139,0.1362817553489721,1.1732390598028917,0.4096154527642414
GEE,2022-07-28 00:00:00,2025-08-19 00:00:00,746 days 00:00:00,100.0,139.1630908127671,39.16309081276712,296.5231759937242,100.0,0.84315336075135,21.972499545061087,192 days 00:00:00,4,3,1,9.05281228549228,100.0,19.410955495822474,2.29127182044888,9.415962160086162,,28 days 08:00:00,,inf,10.036759509091612,0.7105733757852285,0.7987289903131499,1.289589950919413,1.0525348265297547
GEG,2017-08-10 00:00:00,2025-08-19 00:00:00,2000 days 00:00:00,100.0,155.17406211902988,55.174062119029884,51.39461623686874,100.0,2.8223318250709473,28.31845467366747,861 days 00:00:00,11,11,0,0.0,54.54545454545454,46.32344191301072,-15.515679442508679,13.450915055843652,-4.935434771226108,35 days 08:00:00,14 days 04:48:00,2.6006474877803663,5.015823829002718,0.5685484115139237,0.2948217420139981,1.2524844371523343,0.8976178816149967
GEX,2016-06-06 00:00:00,2025-08-19 00:00:00,2300 days 00:00:00,100.0,90.34966526325915,-9.650334736740845,317.3140001089914,100.0,2.1406375655293823,53.607006985706406,1049 days 00:00:00,10,10,0,0.0,50.0,26.68218181818183,-23.320021528525288,13.366422417152208,-13.145266602600858,29 days 00:00:00,11 days 19:12:00,0.8653180356342082,-0.9650334736740831,-0.017760938182973186,-0.02980188855911296,0.9918174765014788,-0.025136627293548357
GMD,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,117.03279863009419,17.03279863009419,220.34815694113527,100.0,2.2839183703875903,16.410096688045563,987 days 00:00:00,11,10,1,7.321051736527011,50.0,11.944324241181317,-5.6453631395348705,5.531211717003727,-3.375027076680824,28 days 14:24:00,11 days 14:24:00,1.5101273241101851,0.9711746893567157,0.27485700130472585,0.15381428976887668,1.1356387489372621,0.4215683095006948
